Sum of Profitability,Column Labels,,,,,,
Row Labels,Action,Animation,Comedy,Drama,Fantasy,Romance,Grand Total
0.005,,,,,,0.005,0.005
0.2528949,,,0.2528949,,,,0.2528949
0.44864475,,,,0.44864475,,,0.44864475
0.652603178,,,,,,0.652603178,0.652603178
0.8258,,,,0.8258,,,0.8258
1.09,,,1.09,,,,1.09
1.211818182,,,1.211818182,,,,1.211818182
1.245333333,1.245333333,,,,,,1.245333333
1.3140625,,,1.3140625,,,,1.3140625
1.34,,,1.34,,,,1.34
1.365692308,,1.365692308,,,,,1.365692308
1.382799733,,,1.382799733,,,,1.382799733
1.384166667,,,,1.384166667,,,1.384166667
1.715263158,,,1.715263158,,,,1.715263158
1.719514286,,,,,,1.719514286,1.719514286
1.747541667,,,,,,1.747541667,1.747541667
1.751351351,,,1.751351351,,,,1.751351351
1.78394375,,,,,1.78394375,,1.78394375
1.797416667,,,1.797416667,,,,1.797416667
1.817666667,,,1.817666667,,,,1.817666667
1.9802064,,,1.9802064,,,,1.9802064
1.9832,,,,,,1.9832,1.9832
2.004444444,,,,2.004444444,,,2.004444444
2.022925,,,2.022925,,,,2.022925
2.0444,,,2.0444,,,,2.0444
2.071,,,2.071,,,,2.071
2.129444167,,,2.129444167,,,,2.129444167
2.14,,,,2.14,,,2.14
2.202571429,,,2.202571429,,,,2.202571429
2.36768512,,,2.36768512,,,,2.36768512
2.4405,,,2.4405,,,,2.4405
2.530526316,,,2.530526316,,,,2.530526316
2.536428571,,,,,,2.536428571,2.536428571
2.598205128,,,,2.598205128,,,2.598205128
2.639333333,,,2.639333333,,,,2.639333333
2.642352941,,,2.642352941,,,,2.642352941
2.64906835,,,2.64906835,,,,2.64906835
2.8835,,,2.8835,,,,2.8835
2.896019067,,2.896019067,,,,,2.896019067
3.081421053,,,,3.081421053,,,3.081421053
3.207850222,,,,3.207850222,,,3.207850222
3.307180357,,,3.307180357,,,,3.307180357
3.3527293,,,3.3527293,,,,3.3527293
3.49125,,,,3.49125,,,3.49125
3.64741055,,,,,,3.64741055,3.64741055
3.682733333,,,,,,3.682733333,3.682733333
3.7241924,,,,,,3.7241924,3.7241924
3.746781818,,,3.746781818,,,,3.746781818
4.005737082,,,4.005737082,,,,4.005737082
4.184038462,,,4.184038462,,,,4.184038462
4.382857143,,,,4.382857143,,,4.382857143
4.471875,,,4.471875,,,,4.471875
4.5988,,,,4.5988,,,4.5988
5.103116833,,,,,,5.103116833,5.103116833
5.3436218,,,5.3436218,,,,5.3436218
5.387972222,,5.387972222,,,,,5.387972222
5.402631579,,,5.402631579,,,,5.402631579
6.267647029,,,6.267647029,,,,6.267647029
6.383363636,,,,,,6.383363636,6.383363636
6.636401848,,,6.636401848,,,,6.636401848
7.1536,,,7.1536,,,,7.1536
7.221795791,,,7.221795791,,,,7.221795791
7.8675,,,7.8675,,,,7.8675
8.096,,,8.096,,,,8.096
8.744705882,,,,,,8.744705882,8.744705882
9.234453864,,,9.234453864,,,,9.234453864
10.18002703,,,,,,10.18002703,10.18002703
11.0897415,,,,,,11.0897415,11.0897415
14.1964,,,,14.1964,,,14.1964
22.91313646,,,22.91313646,,,,22.91313646
66.934,,,,66.934,,,66.934
(blank),,,,,,,
Grand Total,1.245333333,9.649683597,153.4819166,109.2938394,1.78394375,61.19957887,336.6542956
